1,The Seafood Nonet,Greek,cheap,Upper East Side,10:42,20:51,1.1,0
2,The Seafood Grill,Korean,expensive,Long Island City,6:35,20:24,3.3,1
3,The Cheesy Grill,French,medium,Harlem,9:20,18:12,1,1
4,The Seafood Octodecet,Japanese,medium,Williamsburg,6:37,17:38,3.1,0
5,Crispy Chicken Co.,Indian,expensive,Williamsburg,6:05,21:55,3.3,1
6,The Shrimp Shack,Thai,expensive,Harlem,6:25,23:15,2.5,1
7,The Seafood Quintet,Korean,expensive,Williamsburg,10:41,21:27,4.8,0
8,The Tapas Tavern,Korean,expensive,Bushwick,11:00,18:42,2.6,0
9,Mama Mia's Pizzeria,Japanese,cheap,Park Slope,7:34,21:55,3.5,0
10,Tasty Tacos,Greek,cheap,Harlem,10:42,19:51,4.2,0
11,The Seafood Octet,Mexican,cheap,Williamsburg,11:50,22:56,1,0
12,The Seafood Sexvigintet,Mediterranean,cheap,Inwood,7:30,20:46,2.1,0
13,The Seafood Quattuordecet,Greek,medium,Astoria,7:02,22:19,4.3,0
14,The Burrito Bowl,French,medium,Park Slope,7:20,18:32,3,0
15,The Dim Sum Spot,Mediterranean,medium,Williamsburg,7:42,17:07,1.6,0
16,The Wok Stop,Mexican,expensive,Inwood,9:48,22:16,3.4,1
17,The Seafood Nonet,Greek,medium,Long Island City,7:01,22:55,1.4,0
18,The Fish Fry,Mexican,medium,Sunset Park,7:05,17:27,1.8,1
19,The Seafood Duovigintet,Chinese,cheap,Long Island City,7:57,19:04,2.8,1
20,The Seafood Nonet,Thai,expensive,Long Island City,7:44,17:16,4.7,0
21,The Seafood Buffet,Korean,expensive,Williamsburg,9:57,17:02,4.9,1
22,The Hot Dog Stand,Greek,cheap,Long Island City,11:37,17:50,2.9,1
23,The Seafood Quindecet,Indian,cheap,Park Slope,7:51,18:01,1.1,0
24,The Tapas Tavern,Thai,cheap,Harlem,8:25,20:59,1.3,1
25,The Seafood Feast,French,cheap,Sunset Park,10:36,20:47,1,0
26,The Seafood Nonet,Mexican,cheap,Astoria,11:28,22:47,1.7,0
27,The Curry House,Chinese,expensive,Bushwick,10:07,23:07,3.3,1
28,The Seafood Quattuordecet,Thai,medium,Greenwich Village,8:27,20:51,2.8,0
29,The Seafood Novemdecet,Mexican,expensive,Harlem,9:15,21:41,3.1,0
30,The Gyro Grill,Korean,medium,Williamsburg,8:09,21:18,1.2,0
31,The Falafel House,Italian,expensive,Inwood,10:34,19:42,1,0
32,The Bistro,Mexican,medium,Greenwich Village,9:12,19:14,1,0
33,The Seafood Sextet,Mediterranean,cheap,Bushwick,8:03,21:18,4.1,1
34,The Seafood Nonet,Indian,expensive,Sunset Park,9:34,21:28,4.9,0
35,The Breakfast Club,Mediterranean,cheap,Park Slope,7:17,20:19,2,0
36,The Juice Bar,Indian,medium,Upper East Side,11:47,17:36,1,1
37,The Seafood Duodecet,Italian,expensive,Sunset Park,9:52,17:56,3.5,1
38,The Seafood Platter,Greek,expensive,Upper East Side,9:06,17:15,3.6,1
39,Mama Mia's Pizzeria,Indian,expensive,Upper East Side,7:45,22:20,2.2,0
40,BBQ Barn,Mexican,expensive,Bushwick,10:01,18:56,1.7,0
41,The Sandwich Shop,Italian,medium,Long Island City,6:14,20:47,4.1,0
42,The Seafood Undecet,Japanese,cheap,Sunset Park,11:39,22:06,2.7,1
43,The Seafood Octet,Korean,cheap,Astoria,9:31,22:10,4.3,1
44,The Sushi Bar,Mediterranean,medium,Inwood,11:48,17:46,4.6,1
45,The Seafood Quartet,Korean,expensive,Park Slope,10:33,20:46,3.2,1
46,The Seafood Trevigintet,French,expensive,Inwood,8:17,17:34,4.6,0
47,The Juice Bar,Italian,medium,Park Slope,6:47,21:49,2.2,0
48,The Seafood Trevigintet,Greek,medium,Sunset Park,9:45,20:58,2.4,0
49,Pizza Palace,French,medium,Long Island City,8:34,21:54,4.5,0
50,The Seafood Septenvigintet,Chinese,cheap,Park Slope,10:15,19:31,3.4,0
51,The Seafood Novemdecet,Italian,expensive,Long Island City,7:19,19:47,2.4,0
52,The Spice Hut,Greek,cheap,Harlem,8:50,23:05,4.8,0
53,The Seafood Tredecet,Italian,medium,Astoria,6:32,20:22,3.9,0
54,The Hot Dog Stand,Greek,cheap,Park Slope,10:47,18:48,3.6,1
55,The Fish Market,Mexican,expensive,Bushwick,7:35,18:14,4.3,0
56,The Falafel House,Korean,cheap,Astoria,6:21,21:55,3.8,0
57,The Lobster Lounge,Italian,expensive,Astoria,10:42,22:25,3.7,1
58,The Hot Dog Stand,Indian,medium,Harlem,6:51,20:54,2.3,1
59,The Seafood Tower,Chinese,cheap,Harlem,10:15,22:32,3.4,1
60,Sizzling Sushi,Mediterranean,cheap,Inwood,8:30,20:55,3.1,0
61,The Fish Fry,Italian,expensive,Astoria,9:46,19:45,3,1
62,The Salad Spot,Greek,medium,Harlem,6:22,17:52,2.3,0
63,The Seafood Quindecet,Mediterranean,expensive,Bushwick,8:24,19:02,3.8,0
64,The Lobster Roll,Chinese,expensive,Bushwick,10:53,19:01,4.2,0
65,The Dim Sum Spot,French,medium,Astoria,9:39,23:37,3.5,1
66,The Hungry Panda,Indian,cheap,Bushwick,11:35,20:41,4.7,1
67,The Seafood Octodecet,Greek,expensive,Long Island City,9:23,20:45,4.6,1
68,The Seafood Quattuorvigintet,Chinese,medium,Inwood,7:18,21:29,2.9,1
69,The Seafood Platter,Mexican,medium,Bushwick,7:47,19:41,2.9,0
70,The Curry House,Japanese,cheap,Long Island City,9:04,19:04,1.2,0
71,The Seafood Quattuorvigintet,Italian,medium,Long Island City,6:29,17:39,2.2,0
72,The Seafood Quintet,Thai,expensive,Sunset Park,11:52,23:20,3.1,0
73,The Seafood Septet,Thai,expensive,Williamsburg,9:39,21:18,4.8,0
74,The Juice Bar,Japanese,cheap,Sunset Park,11:49,18:44,1.7,0
75,The Spice Hut,French,medium,Inwood,6:47,22:59,1.8,1
76,Mama Mia's Pizzeria,Thai,expensive,Park Slope,10:11,22:12,3.2,1
77,The Seafood Vigintet,Korean,medium,Greenwich Village,9:29,19:58,1,1
78,The Seafood Sexdecet,Greek,medium,Bushwick,7:04,21:53,2.5,0
79,The Sweet Tooth,Mexican,cheap,Williamsburg,6:47,22:25,3,1
80,The Seafood Quartet,Thai,expensive,Williamsburg,8:04,21:29,3.6,0
81,The Seafood Novemvigintet,Korean,cheap,Harlem,11:45,21:28,4.4,0
82,The Lobster Roll,Korean,expensive,Long Island City,10:44,21:37,3.9,0
83,The Breakfast Club,Mexican,expensive,Park Slope,7:11,17:59,4.7,0
84,The Seafood Trio,Korean,expensive,Greenwich Village,6:11,20:56,1.4,0
85,The Hungry Panda,Japanese,expensive,Astoria,6:20,17:22,2.2,1
86,The Seafood Platter,Greek,expensive,Bushwick,7:13,21:25,2.4,1
87,The Seafood Septet,Japanese,medium,Bushwick,9:07,22:47,1.5,1
88,The Crab Corner,Chinese,expensive,Sunset Park,7:14,22:33,3.2,0
89,The Seafood Quintet,Chinese,medium,Greenwich Village,11:47,23:02,2.7,0
90,The Seafood Feast,Chinese,cheap,Bushwick,10:07,23:03,2.8,0
91,The Seafood Grill,Korean,cheap,Harlem,10:51,17:34,4.7,0
92,The Seafood Vigintet,Japanese,medium,Upper East Side,11:18,21:43,2.7,0
93,The Seafood Boil,Japanese,medium,Bushwick,11:58,21:35,3.8,1
94,The Clam Shack,Indian,cheap,Harlem,10:20,17:40,2.3,1
95,The Crepe Cafe,Italian,cheap,Upper East Side,10:50,21:25,1.8,1
96,The Seafood Duovigintet,Korean,expensive,Bushwick,9:39,22:40,2.7,1
97,Pizza Palace,Italian,medium,Harlem,11:06,19:17,3.7,0
98,The Veggie Patch,Italian,medium,Williamsburg,8:25,17:07,4.7,1
99,The Crab Corner,Chinese,medium,Inwood,9:42,23:57,4,0
100,The Seafood Trio,Indian,expensive,Park Slope,7:07,21:37,4.8,1
101,The Gyro Grill,Italian,expensive,Park Slope,9:21,17:18,1.3,0
102,The Pasta Place,Indian,expensive,Inwood,10:11,20:16,2.4,0
103,The Cheesy Grill,Korean,expensive,Bushwick,9:14,19:10,1.7,0
104,The Sweet Tooth,Thai,expensive,Williamsburg,7:45,17:01,2.7,0
105,Sizzling Sushi,Thai,cheap,Harlem,11:50,23:40,5,1
106,Seafood Sensations,Mediterranean,cheap,Greenwich Village,6:01,20:55,3.6,0
107,The Seafood Duovigintet,Mexican,expensive,Harlem,8:04,22:43,2.5,0
108,The Seafood Sexvigintet,Korean,expensive,Long Island City,10:10,20:20,2.9,1
109,The Smoothie Shack,Chinese,medium,Sunset Park,7:53,21:22,3.9,1
110,The Wok Stop,Thai,expensive,Astoria,7:56,21:11,3.7,0
111,The Seafood Octet,French,medium,Bushwick,11:58,22:17,3.7,0
112,The Sweet Tooth,Thai,medium,Greenwich Village,7:34,17:05,2.1,1
113,The Seafood Vigintet,Mexican,medium,Upper East Side,10:36,21:35,1.9,0
114,The Seafood Shack,Italian,expensive,Bushwick,11:50,21:25,2.6,1
115,Taco Time,Mediterranean,expensive,Upper East Side,7:11,17:43,4.5,1
116,The Bistro,Greek,expensive,Astoria,6:03,18:27,3.9,1
117,The Fish Market,Mediterranean,medium,Park Slope,10:55,18:12,3.8,0
118,The Tapas Tavern,Mexican,cheap,Harlem,9:56,19:35,4.1,1
119,The Seafood Trigintet,Mexican,cheap,Bushwick,11:32,23:51,3.7,1
120,The Kebab Kitchen,Chinese,medium,Greenwich Village,11:20,19:36,2.7,0
121,The Seafood Septet,Mediterranean,medium,Greenwich Village,8:05,17:06,1,0
122,The Lobster Lounge,Thai,medium,Greenwich Village,9:58,17:06,4.9,1
123,The Diner,Chinese,cheap,Sunset Park,6:21,21:04,2.2,1
124,The Seafood Quattuordecet,Korean,medium,Astoria,6:35,21:58,1.3,0
125,The Seafood Unvigintet,Thai,expensive,Inwood,7:36,22:57,4.2,1
126,The Seafood Novemvigintet,Korean,medium,Inwood,11:52,17:20,1.1,0
127,The Sweet Tooth,Japanese,medium,Harlem,10:35,23:41,1.1,1
128,The Seafood Duovigintet,Greek,cheap,Greenwich Village,10:35,21:15,2.1,1
129,The Lobster Roll,Mexican,cheap,Inwood,6:29,18:46,1.3,0
130,The Gyro Grill,French,medium,Harlem,8:37,19:18,3.9,0
131,The Pasta Place,Greek,cheap,Greenwich Village,10:12,21:50,3.4,1
132,The Seafood Quartet,Japanese,medium,Williamsburg,7:45,20:09,3.6,0
133,The Pho Place,Mediterranean,expensive,Greenwich Village,9:04,18:30,4,0
134,The Seafood Septet,Mediterranean,expensive,Long Island City,6:01,18:26,3.6,0
135,The Seafood Septet,Chinese,expensive,Harlem,8:57,18:29,2.5,0
136,The Shrimp Shack,Mexican,expensive,Greenwich Village,6:40,19:30,3.3,0
137,The Seafood Duodecet,Mexican,expensive,Harlem,10:22,19:34,4.9,1
138,The Ice Cream Parlor,Chinese,medium,Bushwick,10:08,18:01,2.8,1
139,The Crepe Cafe,Korean,medium,Greenwich Village,11:14,22:11,4.8,1
140,The Seafood Nonet,Thai,cheap,Upper East Side,11:51,20:35,3.5,0
141,The Burrito Bowl,Thai,medium,Williamsburg,8:26,17:09,1.7,0
142,The Seafood Sexvigintet,Indian,expensive,Greenwich Village,11:12,19:10,1.7,1
143,The Hot Dog Stand,Greek,cheap,Bushwick,7:51,20:33,4.6,1
144,The Seafood Quattuordecet,Japanese,expensive,Inwood,7:58,20:54,1.5,0
145,The Bistro,Chinese,expensive,Inwood,8:02,20:46,3,0
146,The Seafood Nonet,Italian,cheap,Williamsburg,7:05,23:04,2.2,0
147,The Fish Fry,Thai,cheap,Williamsburg,6:20,22:03,1.1,1
148,The Seafood Trevigintet,Japanese,expensive,Bushwick,6:17,21:36,4,0
149,The Lobster Lounge,Indian,cheap,Greenwich Village,6:48,17:57,3.1,0
150,The Seafood Tower,Korean,medium,Long Island City,7:14,21:04,4.1,0
151,The Seafood Spread,Korean,medium,Sunset Park,7:07,20:10,1.5,1
152,The Seafood Spread,Chinese,expensive,Williamsburg,7:06,20:25,1.7,1
153,BBQ Barn,Greek,medium,Bushwick,10:46,23:30,3.1,1
154,Seafood Sensations,Greek,expensive,Astoria,7:47,21:25,2.9,0
155,The Seafood Feast,French,expensive,Park Slope,6:41,20:57,2.2,0
156,The Bagel Bakery,Mediterranean,medium,Greenwich Village,11:33,21:08,3.8,1
157,The Seafood Octet,Italian,expensive,Sunset Park,11:15,17:01,4.7,1
